Hebrew,Niqqud,Transliteration,Translation,Niqqud_Length
אבי,אָבִי,’avi,"my father (m, f)",5
אביךָ,אָבִיךָ,’avikha,your father (m),7
אביךְ,אָבִיךְ,’avikha,your father (f),7
אביכם,אֲבִיכֶם,’avikhem,your father (m),8
אביכן,אֲבִיכֶן,’avikhen,your father (f),8
אבינו,אָבִינוּ,’avinu,"our father (m, f)",8
מבזבז,מְבַזְבֵּז,mᵉvazbez,"wastes (m,s)",10
מבזבזת,מְבַזְבֶּזֶת,mᵉvazbezet,"wastes (f,s)",12
מבזבזים,מְבַזְבְּזִים,mᵉvazbᵉzim,"waste (m,p)",13
מבזבזות,מְבַזְבְּזוֹת,mᵉvazbᵉzot,"waste (f,p)",13
מאשר,מְאַשֵּׁר,mᵉ’ashsher,"approves, confirms (m,s)",9
מאשרת,מְאַשֶּׁרֶת,mᵉ’ashsheret,"approves, confirms (f,s)",11
מאשרים,מְאַשְּׁרִים,mᵉ’ashshrim,"approves, confirms (m,p)",12
מאשרות,מְאַשְּׁרוֹת,mᵉ’ashshrot,"approves, confirms (f,p)",12
מרחם,מְרַחֵם,mᵉraḥem,"pities (m,s)",7
מרחמת,מְרַחֶמֶת,mᵉraḥemet,"pity (f,s)",9
מרחמים,מְרַחֲמִים,mᵉraḥamim,"pity (m,p)",10
מרחמות,מְרַחֲמוֹת,mᵉraḥamot,"pity (f,p)",10
מסדר,מְסַדֵּר,mᵉsadder,"arranges, organizes (m,s)",8
מסדרת,מְסַדֶּרֶת,mᵉsadderet,"arranges, organizes (f,s)",10
מסדרים,מְסַדְּרִים,mᵉsaddrim,"arranges, organizes (m,p)",11
מסדרות,מְסַדְּרוֹת,mᵉsaddrot,"arranges, organizes (f,p)",11
מבקש,מְבַקֵּשׁ,mᵉvaqqesh,"asks for, requests (m,s)",9
מבקשת,מְבַקֶּשֶׁת,mᵉvaqqeshet,"asks for, requests (f,s)",11
מבקשים,מְבַקְּשִׁים,mᵉvaqqshim,"asks for, requests (m,p)",12
מבקשות,מְבַקְּשׁוֹת,mᵉvaqqshot,"ask for, request (f,p)",12
מכבד,מְכַבֵּד,mᵉkhabbed,"honor (m,s)",8
מכבדת,מְכַבֶּדֶת,mᵉkhabbedet,"honors (f,s)",10
מכבדים,מְכַבְּדִים,mᵉkhabbdim,"honor (m,p)",11
מכבדות,מְכַבְּדוֹת,mᵉkhabbdot,"honor (f,p)",11
מספק,מְסַפֵּק,mᵉsappeq,"supply (m,s)",8
מספקת,מְסַפֵּקֶת,mᵉsappeqet,"supplies (f,s)",10
מספקים,מְסַפְּקִים,mᵉsappqim,"supply (m,p)",11
מספקות,מְסַפְּקוֹת,mᵉsappqot,"supply (f,p)",11
מטפס,מְטַפֵּס,mᵉtappes,"climbs (m,s)",8
מטפסת,מְטַפֶּסֶת,mᵉtappeset,"climbs (f,s)",10
מטפסים,מְטַפְּסִים,mᵉtappsim,"climb (m,p)",11
מטפסות,מְטַפְּסוֹת,mᵉtappsot,"climb (f,p)",11
מפספס,מְפַסְפֵס,mᵉfasfes,"misses (not emotion) (m,s)",9
מפספסת,מְפַסְפֶסֶת,mᵉfasfeset,"misses (not emotion) (f,s)",11
מפספסים,מְפַסְפְסִים,mᵉfasfᵉsim,"misses (not emotion) (m,p)",12
מפספסות,מְפַסְפְסוֹת,mᵉfasfᵉsot,"misses (not emotion) (f,p)",12
מגלח,מְגַלֵּחַ,mᵉgalleaḥ,"shaves (m,s)",9
מגלחת,מְגַלַּחַת,mᵉgallaḥat,"shaves (f,s)",10
מגלחים,מְגַלְּחִים,mᵉgallḥim,"shaves (m,p)",11
מגלחות,מְגַלְּחוֹת,mᵉgallḥot,"shaves (f,p)",11
מתקן,מְתַקֵּן,mᵉtaqqen,"fixes, repairs (m,s)",8
מתקנת,מְתַקֶּנֶת,mᵉtaqqenet,"fixes, repairs (f,s)",10
מתקנים,מְתַקְּנִים,mᵉtaqqnim,"fix, repair (m,p)",11
מתקנות,מְתַקְּנוֹת,mᵉtaqqnot,"fix, repair (f,p)",11
מתאר,מְתַאֵר,mᵉta’er,"describes (m,s)",7
מתארת,מְתָאֶרֶת,mᵉta’aret,"describes (f,s)",9
מתארים,מְתָאֲרִים,mᵉta’arim,"describe (m,p)",10
מתארות,מְתָאֲרוֹת,mᵉta’arot,"describe (f,p)",10
מברך,מְבָרֵךְ,mᵉvarekh,"blesses, congratulates (m,s)",8
מברכת,מְבָרֶכֶת,mᵉvarekhet,"blesses, congratulates (f,s)",9
מברכים,מְבָרְכִים,mᵉvarkhim,"bless, congratulate (m,p)",10
מברכות,מְבָרְכוֹת,mᵉvarkhot,"bless, congratulate (f,p)",10
מחדש,מְחַדֵּשׁ,mᵉḥaddesh,"renews (m,s)",9
מחדשת,מְחַדֶּשֶׁת,mᵉḥaddeshet,"renews (f,s)",11
מחדשים,מְחַדְּשִׁים,mᵉḥaddshim,"renew (m,p)",12
מחדשות,מְחַדְּשׁוֹת,mᵉḥaddshot,"renew (f,p)",12
מגלֶה,מְגַלֶּה,mᵉgalle,"discover (m,s)",8
מגלָה,מְגַלָּה,mᵉgalla,"discover (f,s)",8
מגלים,מְגַלִּים,mᵉgallim,"discover (m,p)",9
מגלות,מְגַלּוֹת,mᵉgallot,"discover (f,p)",9
מצלם,מְצַלֵּם,mᵉtzallem,"photographs (m,s)",8
מצלמת,מְצַלֶּמֶת,mᵉtzallemet,"photographs (f,s)",10
מצלמים,מְצַלְּמִים,mᵉtzallmim,"photograph (m,p)",11
מצלמות,מְצַלְּמוֹת,mᵉtzallmot,"photograph (f,p)",11
מאמץ,מְאַמֵּץ,mᵉ’ammetz,"adopts (m,s)",8
מאמצת,מְאַמֶּצֶת,mᵉ’ammetzet,"adopts (f,s)",10
מאמצים,מְאַמְּצִים,mᵉ’ammtzim,"adopt (m,p)",11
מאמצות,מְאַמְּצוֹת,mᵉ’ammtzot,"adopt (f,p)",11
משכנע,מְשַׁכְנֵעַ,mᵉshakhnea‘,"convince (m,s)",11
משכנעת,מְשַׁכְנַעַת,mᵉshakhna‘at,"convince (f,s)",12
משכנעים,מְשַׁכְנְעִים,mᵉshakhnᵉ‘im,"convince (m,p)",13
משכנעות,מְשַׁכְנְעוֹת,mᵉshakhnᵉ‘ot,"convince (f,p)",13
מאבד,מְאַבֵּד,mᵉ’abbed,"loses (m,s)",8
מאבדת,מְאַבֶּדֶת,mᵉ’abbedet,"loses (f,s)",10
מאבדים,מְאַבְּדִים,mᵉ’abbdim,"loses (m,p)",11
מאבדות,מְאַבְּדוֹת,mᵉ’abbdot,"loses (f,p)",11
מפחד,מְפַחֵד,mᵉfaḥed,"afraid, scared (m,s)",7
מפחדת,מְפַחֶדֶת,mᵉfaḥedet,"afraid, scared (f,s)",9
מפחדים,מְפַחֲדִים,mᵉfaḥadim,"afraid, scared (m,p)",10
מפחדות,מְפַחֲדוֹת,mᵉfaḥadot,"afraid, scared (f,p)",10
מסיים,מְסַיֵּם,mᵉsayyem,"finish, complete (m,s)",8
מסיימת,מְסַיֶּמֶת,mᵉsayyemet,"finish, complete (f,s)",10
מסיימים,מְסַיְּמִים,mᵉsayymim,"finish, complete (m,p)",11
מסיימות,מְסַיְּמוֹת,mᵉsayymot,"finish, complete (f,p)",11
מאמן,מְאַמֵּן,mᵉ’ammen,"trains (someone) (m,s)",8
מאמנת,מְאַמֶּנֶת,mᵉ’ammenet,"trains (someone) (f,s)",10
מאמנים,מְאַמְּנִים,mᵉ’ammnim,"trains (someone) (m,p)",11
מאמנות,מְאַמְּנוֹת,mᵉ’ammnot,"trains (someone) (f,p)",11
מחכֶה,מְחַכֶּה,mᵉḥakke,"waits (-ל) (m,s)",8
מחכָה,מְחַכָּה,mᵉḥakka,"waits (-ל) (f,s)",8
מחכים,מְחַכִּים,mᵉḥakkim,"wait (-ל) (m,p)",9
מחכות,מְחַכּוֹת,mᵉḥakkot,"wait (-ל) (f,p)",9
מאחר,מְאַחֵר,mᵉ’aḥer,"late (m,s)",7
מאחרת,מְאַחֶרֶת,mᵉ’aḥeret,"late (f,s)",9
מאחרים,מְאַחֲרִים,mᵉ’aḥarim,"late (m,p)",10
מאחרות,מְאַחֲרוֹת,mᵉ’aḥarot,"late (f,p)",10
משקר,מְשַׁקֵּר,mᵉshaqqer,"lies (m,s)",9
משקרת,מְשַׁקֶּרֶת,mᵉshaqqeret,"lies (f,s)",11
משקרים,מְשַׁקְּרִים,mᵉshaqqrim,"lies (m,p)",12
משקרות,מְשַׁקְּרוֹת,mᵉshaqqrot,"lies (f,p)",12
מקנא,מְקַנֵּא,mᵉqanne’ ,"is jealous (-ב) (m,s)",8
מקנאה,מְקַנְּאָה,mᵉqann’a,"is jealous (-ב) (f,s)",10
מקנאים,מְקַנְּאִים,mᵉqann’im,"are jealous (-ב) (m,p)",11
מקנאות,מְקַנְּאוֹת,mᵉqann’ot,"are jealous (-ב) (f,p)",11
מבקר,מְבַקֵּר,mᵉvaqqer,"visit (-ב), criticise (את) (m,s) ",8
מבקרת,מְבַקֶּרֶת,mᵉvaqqeret,"visit (-ב), criticise (את) (f,s) ",10
מבקרים,מְבַקְּרִים,mᵉvaqqrim,"visit (-ב), criticise (את) (m,p)",11
מבקרות,מְבַקְּרוֹת,mᵉvaqqrot,"visit (-ב), criticise (את) (f,p)",11
מנצח,מְנַצֵּחַ,mᵉnatztzeaḥ,"win (m,s)",9
מנצחת,מְנַצַּחַת,mᵉnatztzaḥat,"win (f,s)",10
מנצחים,מְנַצְּחִים,mᵉnatztzḥim,"win (m,p)",11
מנצחות,מְנַצְּחוֹת,mᵉnatztzḥot,"win (f,p)",11
מקבל,מְקַבֵּל,mᵉqabbel,"receive (m,s)",8
מקבלת,מְקַבֶּלֶת,mᵉqabbelet,"receive (f,s)",10
מקבלים,מְקַבְּלִים,mᵉqabblim,"receive (m,p)",11
מקבלות,מְקַבְּלוֹת,mᵉqabblot,"receive (f,p)",11
מערבב,מְעַרְבֵּב,mᵉ‘arbev,"stirs, mixes (m,s)",10
מערבבת,מְעַרְבֶּבֶת,mᵉ‘arbevet,"stirs, mixes (f,s)",12
מערבבים,מְעַרְבְּבִים,mᵉ‘arbᵉvim,"stirs, mixes (m,p)",13
מערבבות,מְעַרְבְּבוֹת,mᵉ‘arbᵉvot,"stirs, mixes (f,p)",13
מייבא,מְיַבֵּא,mᵉyabbe’,"imports (m,s)",8
מייבאת,מְיַבֵּאת,mᵉyabbe’t,"imports (f,s)",9
מייבאים,מֵיַבְּאִים,meyabb’im,"imports (m,p)",11
מייבאות,מְיַבְּאוֹת,mᵉyabb’ot,"imports (f,p)",11
ממלא,מְמַלֵּא,mᵉmalle’,"fills (m,s)",8
ממלאה,מְמַלְּאָה,mᵉmall’a,"fills (f,s)",10
ממלאים,מְמַלְּאִים,mᵉmall’im,"fills (m,p)",11
ממלאות,מְמַלְּאוֹת,mᵉmall’ot,"fills (f,p)",11
מייבש,מְיַבֵּשׁ,mᵉyabbesh,"dries (m,s)",9
מייבשת,מְיַבֶּשֶׁת,mᵉyabbeshet,"dries (f,s)",11
מייבשים,מְיַבְּשִׁים,mᵉyabbshim,"dries (m,p)",12
מייבשות,מְיַבְּשׁוֹת,mᵉyabbshot,"dries (f,p)",12
מחמם,מְחַמֵּם,mᵉḥammem,"heats up (m,s)",8
מחממת,מְחַמֶּמֶת,mᵉḥammemet,"heats up (f,s)",10
מחממים,מְחַמְּמִים,mᵉḥammᵉmim,"heats up (m,p)",11
מחממות,מְחַמְּמוֹת,mᵉḥammᵉmot,"heats up (f,p)",11
מחפש,מְחַפֵּשׂ,mᵉḥappes,"searches, looking for (m,s)",9
מחפשת,מְחַפֶּשֶׂת,mᵉḥappeset,"searches, looking for (f,s)",11
מחפשים,מְחַפְּשִׂים,mᵉḥappsim,"searches, looking for (m,p)",12
מחפשות,מְחַפְּשׂוֹת,mᵉḥappsot,"searches, looking for (f,p)",12
מסמן,מְסַמֵּן,mᵉsammen,"signals (m,s)",8
מסמנת,מְסַמֶּנֶת,mᵉsammenet,"signals (f,s)",10
מסמנים,מְסַמְּנִים,mᵉsammnim,"signals (m,p)",11
מסמנות,מְסַמְּנוֹת,mᵉsammnot,"signals (f,p)",11
מנסֶה,מְנַסֶּה,mᵉnasse,"tries (m,s)",8
מנסָה,מְנַסָּה,mᵉnassa,"tries (f,s)",8
מנסים,מְנַסִּים,mᵉnassim,"tries (m,p)",9
מנסות,מְנַסּוֹת,mᵉnassot,"tries (f,p)",9
מאחל,מְאַחֵל,mᵉ’aḥel,"wish (m,s)",7
מאחלת,מְאַחֶלֶת,mᵉ’aḥelet,"wish (f,s)",9
מאחלים,מְאַחֲלִים,mᵉ’aḥalim,"wish (m,p)",10
מאחלות,מְאַחֲלוֹת,mᵉ’aḥalot,"wish (f,p)",10
מקווֶה,מְקַוֶּה,mᵉqavve,"hope (m,s)",8
מקווָה,מְקַוָּה,mᵉqavva,"hope (f,s)",8
מקווים,מְקַוִּים,mᵉqavvim,"hope (m,p)",9
מקוות,מְקַוּוֹת,mᵉqavvot,"hope (f,p)",9
מגדל,מְגַדֵּל,mᵉgaddel,"grow (m,s)",8
מגדלת,מְגַדֶּלֶת,mᵉgaddelet,"grow (f,s)",10
מגדלים,מְגַדְּלִים,mᵉgaddlim,"grow (m,p)",11
מגדלות,מְגַדְּלוֹת,mᵉgaddlot,"grow (f,p)",11
משחק,מְשַׂחֵק,mᵉsaḥeq,"play (m,s)",8
משחקת,מְשַׂחֶקֶת,mᵉsaḥeqet,"play (f,s)",10
משחקים,מְשַׁחֲקִים,mᵉshaḥaqim,"play (m,p)",11
משחקות,מְשַׂחֲקוֹת,mᵉsaḥaqot,"play (f,p)",11
משלם,מְשַׁלֵּם,mᵉshallem,"pays (m,s)",9
משלמת,מְשַׁלֶּמֶת,mᵉshallemet,"pays (f,s)",11
משלמים,מְשַׁלְּמִים,mᵉshallmim,"pays (m,p)",12
משלמות,מְשַׁלְּמוֹת,mᵉshallmot,"pays (f,p)",12
לשנות,לְשַׁנּוֹת,lᵉshannot,to change,10
משנֶה,מְשַׁנֶּה,mᵉshanne,"changes (m,s)",9
משנָה,מְשַׁנָּה,mᵉshanna,"changes (f,s)",9
משנים,מְשַׁנִּים,mᵉshannim,"change (m,p)",10
משנות,מְשַׁנּוֹת,mᵉshannot,"changes (f,p)",10
מעצב,מְעַצֵּב,mᵉ‘atztzev,"designs (m,s)",8
מעצבת,מְעַצֶּבֶת,mᵉ‘atztzevet,"designs (f,s)",10
מעצבים,מְעַצְּבִים,mᵉ‘atztzvim,"designs (m,p)",11
מעצבות,מְעַצְּבוֹת,mᵉ‘atztzvot,"designs (f,p)",11
מספר,מְסַפֵּר,mᵉsapper,"tell, relate (m,s)",8
מספרת,מְסַפֶּרֶת,mᵉsapperet,"tell, relate (f,s)",10
מספרים,מְסַפְּרִים,mᵉsapprim,"tell, relate (m,p)",11
מספרות,מְסַפְּרוֹת,mᵉsapprot,"tell, relate (f,p)",11
שנייה,שְׁנִיָּה,shniyya,second (time unit),9
דקה,דַּקָּה,daqqa,minute,7
שעה,שָׁעָה,sha‘a,hour,6
שעות,שָׁעוֹת,sha‘ot,hours,7
שעתיים,שְׁעָתַיִם,sh‘atayim,two hours,10
יומיים,יוֹמַיִם,yomayim,two days,8
מחרתיים,מָחֳרָתַיִם,moḥoratayim,"day after tomorrow, in two days",11
יום,יוֹם,yom,day,4
ימים,יָמִים,yamim,days,6
היום,הַיּוֹם,hayyom,today,7
שבוע,שָׁבוּעַ,shavua‘,week,8
שבועיים,שְׁבוּעַיִם,shvu‘ayym,two weeks,11
חודש,חֹדֶשׁ,ḥodesh,month,6
חודשיים,חָדְשַׁיִם,ḥodshayim,two months,10
חודשים,חֳדָשִׁים,ḥodashim,months,9
שנתיים,שְׁנָתַיִם,shnatayim,two years,10
גיל,גִּיל,gil,age,5
מסיבה,מְסִבָּה,mᵉsibba,party,8
לוח שנה,לוּחַ שָׁנָה,luaḥ shana,calendar,12
לוחות שנה,לוּחוֹת שָׁנָה,luḥot shana,calendars,14
שלשום,שִׁלְשׁוֹם,shilshom,the day before yesterday,10
אתמול,אֶתְמוֹל,’etmol,yesterday,8
עכשיו,עַכְשָׁיו,‘akhshׁayw,now,9
הערב,הָעֶרֶב,ha‘erev,"this evening, tonight",7
מחר,מָחָר,maḥar,tomorrow,5
שישי,שִׁשִּׁי,shishi,"sixth (m,s)",8
שישית,שִׁשִּׁית,shishshit,"sixth (f,s)",9
שישיים,שִׁשִּׁיִּים,shishshiyyim,"sixth (m,p)",12
שישיות,שִׁשִּׁיּוֹת,shishshiyyot,"sixth (f,p)",12
עד,עַד,‘ad,"until, up to",3
הווה,הוֹוֶה,hove,present time,6
תמיד,תָּמִיד,tamid,always,7
כיום,כַּיּוֹם,kayyom,"nowadays, currently, presently",8
מאה,מֵאָה,me’a,century,5
עידן,עִדָּן,‘iddan,"era, eon, age",6
עשור,עָשׂוֹר,‘asor,decade,7
תקופה,תְּקוּפָה,tqufa,period (time),9
אף פעם,אַף פַּעַם,’af pa‘am,never,10
דור,דּוֹר,dor,generation,5
יום הולדת,יוֹם הֻלֶּדֶת,yom hulledet,birthday,13
רגע,רֶגַע,rega‘,moment,5
רגעים,רְגָעִים,rᵉga‘im,moments,8
קצת,קְצָת,qtzat,"a bit, slightly, a little",5
באות,בָּאוֹת,ba’ot,"next, coming",7
עונה,עוֹנָה,‘ona,season,6
אביב,אָבִיב,’aviv,spring,6
קיץ,קַיִץ,qayitz,summer,5
סתיו,סְתָו,stav,"autumn, fall",5
חורף,חֹרֶף,ḥoref,winter,5
חצות,חֲצוֹת,ḥatzot,midnight,6
ינואר,יָנוּאָר,yanu’ar,January,8
פברואר,פֶבְּרוּאָר,febbru’ar,February,11
מרץ,מֵרְץ,mertz,March,5
אפריל,אַפְּרִיל,’appril,April,9
מאי,מַאי,ma’y,May,4
יוני,יוּנִי,yuni,June,6
יולי,יוּלִי,yuli,July,6
אוגוסט,אוֹגוּסְט,’ogust,August,9
ספטמבר,סֶפְּטֶמְבֶּר,sepptember,September,13
אוקטובר,אוֹקְטוֹבֶּר,’oqtober,October,12
נובמבר,נוֹבֶמְבֶּר,november,November,11
דצמבר,דֶּצֶמְבֶּר,detzember,December,11
תאריך,תַּאֲרִיךְ,ta’arikh,date,10
תאריכים,תַּאֲרִיכִים,ta’arikhim,dates,12
במאי,בַּמַּאי,bamma’y,director (m),8
לילה,לַיְלָה,layla,night,7
צהריים,צָהֳרַיִם,tzohorayim,noon,9
עבר,עָבַר,‘avar,past,5
שנה,שָׁנָה,shana,year,6
שנים,שָׁנִים,shanim,years,7
שעברה,שֶׁעָבְרָה,she‘avra,last,10
יום ראשון,יוֹם רִאשׁוֹן,yom ri’shon,Sunday,13
יום שני,יוֹם שֵׁנִי,yom sheni,Monday,11
יום שלישי,יוֹם שְׁלִישִׁי,yom shlishi,Tuesday,15
יום רביעי,יוֹם רְבִיעִי,yom rᵉvi‘i,Wednesday,13
יום חמישי,יוֹם חֲמִישִׁי,yom ḥamishi,Thursday,14
יום שישי,יוֹם שִׁשִּׁי,yom shishshi,Friday,13
יום שבת,יוֹם שַׁבָּת,yom shabbat,"Saturday, Sabbath, Shabbat",12
שבת,שַׁבָּת,shabbat,"Saturday, Sabbath, day of rest",7
זמן,זְמַן,zman,time,5
חמישי,חֲמִישִׁי,ḥamishi,"fifth (m,s)",9
חמישית,חֲמִישִׁית,ḥamishit,"fifth (f,s)",10
חמישיים,חֲמִישִׁיִּים,ḥamishiyyim,"fifth (m,p)",13
חמישיות,חֲמִישִׁיּוֹת,ḥamishiyyot,"fifth (f,p)",13
אחר הצהריים,אַחַר הַצָּהֳרַיִם,’aḥar hatztzohorayim,afternoon,18
משעמם,מְשַׁעְמֵם,mᵉsha‘mem,"boring, dull (m,s)",10
משעממת,מְשַׁעְמֶמֶת,mᵉsha‘memet,"boring, dull (f,s)",12
משעממים,מְשַׁעְמְמִים,mᵉsha‘mᵉmim,"boring, dull (m,p)",13
משעממות,מְשַׁעְמְמוֹת,mᵉsha‘mᵉmot,"boring, dull (f,p)",13
זול,זוֹל,zol,"cheap (m,s)",4
זולה,זוֹלָה,zola,"cheap (f,s)",6
זולים,זוֹלִים,zolim,"cheap (m,p)",7
זולות,זוֹלוֹת,zolot,"cheap (f,p)",7
עני,עָנִי,‘ani,"poor (m,s)",5
ענייה,עֲנִיָּה,‘aniya,"poor (f,s)",8
עניים,עֲנִיִּים,‘aniyyim,"poor (m,p)",9
עניות,עֲנִיּוֹת,‘aniyyot,"poor (f,p)",9
פתוח,פָּתוּחַ,patuaḥ,"open (m,s)",8
פתוחה,פְּתוּחָה,ptuḥa,"open (f,s)",9
פתוחים,פְּתוּחִים,ptuḥim,"open (m,p)",10
פתוחות,פְּתוּחוֹת,ptuḥot,"open (f,p)",10
יעיל,יָעִיל,ya‘il,"efficient, effective (m,s)",6
יעילה,יְעִילָה,yᵉ‘ila,"efficient, effective (f,s)",8
יעילים,יְעִילִים,yᵉ‘ilim,"efficient, effective (m,p)",9
יעילות,יְעִילוֹת,yᵉ‘ilot,"efficient, effective (f,p)",9
מפורסם,מְפֻרְסָם,mᵉfursam,"famous (m,s)",9
מפורסמת,מְפֻרְסֶמֶת,mᵉfursemet,"famous (f,s)",11
מפורסמים,מְפֻרְסָמִים,mᵉfursamim,"famous (m,p)",12
מפורסמות,מְפֻרְסָמוֹת,mᵉfursamot,"famous (f,p)",12
עצמאי,עַצְמָאִי,‘atzma’i,"independent, self-sufficient, autonomous (m,s)",9
עצמאית,עַצְמָאִית,‘atzma’it,"independent, self-sufficient, autonomous (f,s)",10
עצמאיים,עַצְמָאִיִּים,‘atzma’iyyim,"independent, self-sufficient, autonomous (m,p)",13
עצמאיות,עַצְמָאִיּוֹת,‘atzma’iyyot,"independent, self-sufficient, autonomous (f,p)",13
אמיתי,אֲמִתִּי,’amitti,"real, true, genuine (m,s)",8
אמיתית,אֲמִתִּית,’amittit,"real, true, genuine (f,s)",9
אמיתיים,אֲמִתִּיִים,’amittiyim,"real, true, genuine (m,p)",11
אמיתיות,אֲמִתִּיּוֹת,’amittiyyot,"real, true, genuine (f,p)",12
מוּכר,מֻכָּר,mukkar,"familiar, known, recognized (m,s)",6
מוּכרת,מֻכֶּרֶת,mukkeret,"familiar, known, recognized (f,s)",8
מוּכרים,מֻכָּרִים,mukkarim,"familiar, known, recognized (m,p)",9
מוּכרות,מֻכָּרוֹת,mukkarot,"familiar, known, recognized (f,p)",9
רב,רַב,rav,"much, great, numerous, vast (m,s)",3
רבה,רַבָּה,rabba,"much, great, numerous, vast (f,s)",6
רבים,רַבִּים,rabbim,"much, great, numerous, vast (m,p)",7
רבות,רַבּוֹת,rabbot,"much, great, numerous, vast (f,p)",7
שָמן,שָׁמֵן,shamen,"fat, chubby, stocky (m,s)",6
שמנה,שְׁמֵנָה,shmena,"fat, chubby, stocky (f,s)",8
שמנים,שְׁמֵנִים,shmenim,"fat, chubby, stocky (m,p)",9
שמנות,שְׁמֵנוֹת,shmenot,"fat, chubby, stocky (f,p)",9
רזֶה,רָזֶה,raze,"slim, thin, skinny (m,s)",5
רזָה,רָזָה,raza,"slim, thin, skinny (f,s)",5
רזים,רָזִים,razim,"slim, thin, skinny (m,p)",6
רזות,רָזוֹת,razot,"slim, thin, skinny (f,p)",6
צבאי,צְבָאִי,tzva’i,"military (m,s)",7
צבאית,צְבָאִית,tzva’it,"military (f,s)",8
צבאיים,צְבָאִיִּים,tzva’iyyim,"military (m,p)",11
צבאיות,צְבָאִיּוֹת,tzva’iyyot,"military (f,p)",11
מקצועי,מִקְצוֹעִי,miqtzo‘i,"professional (m,s)",10
מקצועית,מִקְצוֹעִית,miqtzo‘it,"professional (f,s)",11
מקצועים,מִקְצוֹעִיִּים,miqtzo‘iyyim,"professional (m,p)",14
מקצועות,מִקְצוֹעִיּוֹת,miqtzo‘iyyot,"professional (f,p)",14
נוח,נוֹחַ,noaḥ,"comfortable, convenient, pleasant (m,s)",5
נוחה,נוֹחָה,noḥa,"comfortable, convenient, pleasant (f,s)",6
נוחים,נוֹחִים,noḥim,"comfortable, convenient, pleasant (m,p)",7
נוחות,נוֹחוֹת,noḥot,"comfortable, convenient, pleasant (f,p)",7
קל,קַל,qal,"light, easy, simple (m,s)",3
קלה,קַלָּה,qalla,"light, easy, simple (f,s)",6
קלים,קַלִּים,qallim,"light, easy, simple (m,p)",7
קלות,קַלּוֹת,qallot,"light, easy, simple (f,p)",7
קשֶה,קָשֶׁה,qashe,"hard, solid, difficult (m,s)",6
קשָה,קָשָׁה,qasha,"hard, solid, difficult (f,s)",6
קשים,קָשִׁים,qashim,"hard, solid, difficult (m,p)",7
קשות,קָשׁוֹת,qashot,"hard, solid, difficult (f,p)",7
שלילי,שְׁלִילִי,shlili,"negative (m,s)",9
שלילית,שְׁלִילִית,shlilit,"negative (f,s)",10
שליליים,שְׁלִילִיִּים,shliliyyim,"negative (m,p)",13
שליליות,שְׁלִילִיּוֹת,shliliyyot,"negative (f,p)",13
חיובי,חִיּוּבִי,ḥiyyuvi,"positive (m,s)",9
חיובית,חִיּוּבִית,ḥiyyuvit,"positive (f,s)",10
חיוביים,חִיּוּבִיִּים,ḥiyyuviyyim,"positive (m,p)",13
חיובות,חִיּוּבִיּוֹת,ḥiyyuviyyot,"positive (f,p)",13
מעניין,מְעַנְיֵן,mᵉ‘anyen,"interesting (m,s)",9
מעניינת,מְעַנְיֶנֶת,mᵉ‘anyenet,"interesting (f,s)",11
מעניינים,מְעַנְיְנִים,mᵉ‘anyᵉnim,"interesting (m,p)",12
מעניינות,מְעַנְיְנוֹת,mᵉ‘anyᵉnot,"interesting (f,p)",12
שגוי,שָׁגוּי,shaguy,"wrong, erroneous, mistaken (m,s)",7
שגויה,שְׁגוּיָה,shguya,"wrong, erroneous, mistaken (f,s)",9
שגויים,שְׁגוּיִים,shguyim,"wrong, erroneous, mistaken (m,p)",10
שגויות,שְׁגוּיוֹת,shguyot,"wrong, erroneous, mistaken (f,p)",10
מושלם,מֻשְׁלָם,mushlam,"perfect, ideal, wonderful, excellent, complete (m,s)",8
מושלמת,מֻשְׁלֶמֶת,mushlemet,"perfect, ideal, wonderful, excellent, complete (f,s)",10
מושלמים,מֻשְׁלָמִים,mushlamim,"perfect, ideal, wonderful, excellent, complete (m,p)",11
מושלמות,מֻשְׁלָמוֹת,mushlamot,"perfect, ideal, wonderful, excellent, complete (f,p)",11
נכון,נָכוֹן,nakhon,"true, correct, fitting, appropriate (m,s)",6
נכונה,נְכוֹנָה,nᵉkhona,"true, correct, fitting, appropriate (f,s)",8
נכונים,נְכוֹנִים,nᵉkhonim,"true, correct, fitting, appropriate (m,p)",9
נכונות,נְכוֹנוֹת,nᵉkhonot,"true, correct, fitting, appropriate (f,p)",9
רציני,רְצִינִי,rᵉtzini,"serious (m,s)",8
רצינית,רְצִינִית,rᵉtzinit,"serious (f,s)",9
רציניים,רְצִינִיִּים,rᵉtziniyyim,"serious (m,p)",12
רציניות,רְצִינִיּוֹת,rᵉtziniyyot,"serious (f,p)",12
חופשי,חָפְשִׁי,ḥofshi,"free, unrestricted (m,s)",8
חופשית,חָפְשִׁית,ḥofshit,"free, unrestricted (f,s)",9
חופשיים,חוֹפְשִׁיִּים,ḥofshiyyim,"free, unrestricted (m,p)",13
חופשיות,חָפְשִׁיּוֹת,ḥofshiyyot,"free, unrestricted (f,p)",12
אחראי,אַחְרָאִי,’aḥra’i,"responsible (m,s)",9
אחראית,אַחְרָאִית,’aḥra’it,"responsible (f,s)",10
אחראיים,אַחְרָאִיִּים,’aḥra’iyyim,"responsible (m,p)",13
אחראיות,אַחְרָאִיּוֹת,’aḥra’iyyot,"responsible (f,p)",13
